1741478108840	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/close-uri/v1
1741478108849	Sync.Engine.Tabs	INFO	Uploading 1 outgoing records
1741478108851	Sync.Engine.Tabs	INFO	Posting 1 records of 2499 bytes with batch=true
1741478108851	FirefoxAccounts	TRACE	not checking freshness of profile as it remains recent
1741478108852	Sync.Collection	DEBUG	POST Length: 2499
1741478108998	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change: scheduling a quick-write in 5000ms
1741478109076	Sync.Collection	DEBUG	POST success 200 https://sync-1-us-west1-g.sync.services.mozilla.com/1.5/213116256/storage/tabs?batch=true&commit=true
1741478109077	Sync.Telemetry	INFO	Observed notification weave:engine:sync:uploaded but no current sync is being recorded.
1741478110726	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change, but a quick-write is already scheduled
1741478111331	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change, but a quick-write is already scheduled
1741478112691	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change, but a quick-write is already scheduled
1741478114038	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/open-uri
1741478114038	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/close-uri/v1
1741478114047	Sync.Engine.Tabs	INFO	Uploading 1 outgoing records
1741478114049	Sync.Engine.Tabs	INFO	Posting 1 records of 2475 bytes with batch=true
1741478114050	FirefoxAccounts	TRACE	not checking freshness of profile as it remains recent
1741478114050	Sync.Collection	DEBUG	POST Length: 2475
1741478114287	Sync.Collection	DEBUG	POST success 200 https://sync-1-us-west1-g.sync.services.mozilla.com/1.5/213116256/storage/tabs?batch=true&commit=true
1741478114289	Sync.Telemetry	INFO	Observed notification weave:engine:sync:uploaded but no current sync is being recorded.
1741478115113	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change: scheduling a quick-write in 5000ms
1741478115116	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change, but a quick-write is already scheduled
1741478117809	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change, but a quick-write is already scheduled
1741478120126	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/open-uri
1741478120126	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/close-uri/v1
1741478120137	Sync.Engine.Tabs	INFO	Uploading 1 outgoing records
1741478120139	Sync.Engine.Tabs	INFO	Posting 1 records of 2475 bytes with batch=true
1741478120139	FirefoxAccounts	TRACE	not checking freshness of profile as it remains recent
1741478120140	Sync.Collection	DEBUG	POST Length: 2475
1741478120363	Sync.Collection	DEBUG	POST success 200 https://sync-1-us-west1-g.sync.services.mozilla.com/1.5/213116256/storage/tabs?batch=true&commit=true
1741478120373	Sync.Telemetry	INFO	Observed notification weave:engine:sync:uploaded but no current sync is being recorded.
1741478126848	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change: scheduling a quick-write in 5000ms
1741478131861	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/open-uri
1741478131861	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/close-uri/v1
1741478131868	Sync.Engine.Tabs	INFO	Uploading 1 outgoing records
1741478131868	Sync.Engine.Tabs	INFO	Posting 1 records of 2475 bytes with batch=true
1741478131869	FirefoxAccounts	TRACE	not checking freshness of profile as it remains recent
1741478131869	Sync.Collection	DEBUG	POST Length: 2475
1741478132090	Sync.Collection	DEBUG	POST success 200 https://sync-1-us-west1-g.sync.services.mozilla.com/1.5/213116256/storage/tabs?batch=true&commit=true
1741478132102	Sync.Telemetry	INFO	Observed notification weave:engine:sync:uploaded but no current sync is being recorded.
1741478135451	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change: scheduling a quick-write in 5000ms
1741478140464	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/open-uri
1741478140464	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/close-uri/v1
1741478140472	Sync.Engine.Tabs	INFO	Uploading 1 outgoing records
1741478140474	Sync.Engine.Tabs	INFO	Posting 1 records of 2475 bytes with batch=true
1741478140475	FirefoxAccounts	TRACE	not checking freshness of profile as it remains recent
1741478140476	Sync.Collection	DEBUG	POST Length: 2475
1741478140715	Sync.Collection	DEBUG	POST success 200 https://sync-1-us-west1-g.sync.services.mozilla.com/1.5/213116256/storage/tabs?batch=true&commit=true
1741478140727	Sync.Telemetry	INFO	Observed notification weave:engine:sync:uploaded but no current sync is being recorded.
1741478155536	Sync.Engine.Tabs.Tracker	DEBUG	Detected a tab change: scheduling a quick-write in 5000ms
1741478160637	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/open-uri
1741478160638	FirefoxAccounts	TRACE	Getting command keys: https://identity.mozilla.com/cmd/close-uri/v1
1741478160650	Sync.Engine.Tabs	INFO	Uploading 1 outgoing records
1741478160650	Sync.Engine.Tabs	INFO	Posting 1 records of 2475 bytes with batch=true
